,Account,Cluster,,,,,,
1Brokercom,1Brokercom,3,,,,,,
24h_tve,24h_tve,3,,,,,,
9GAG,9GAG,2,,,,,,
9gagtv,9gagtv,3,,,,,,
A_single_bear,A_single_bear,3,,,,,,
aaas,aaas,3,,,,,,
ABC,ABC,2,,,,,,
abc_es,abc_es,3,,,,,, 
ABCPolitics,ABCPolitics,3,,,,,,
ahorapodemos,ahorapodemos,3,,,,,,
AMI__cat,AMI__cat,3,,,,,,
AnalyseSport,AnalyseSport,3,,,,,,
AnimalPlanet,AnimalPlanet,3,,,,,,
antena3com,antena3com,3,,,,,,
AP_Sports,AP_Sports,3,,,,,,
BabyPips,BabyPips,3,,,,,,
baseballpro,baseballpro,3,,,,,,
BBC_Travel,BBC_Travel,3,,,,,,
BBCWorld,BBCWorld,2,,,,,,
Bcnisnotcat_,Bcnisnotcat_,3,,,,,,
bflay,bflay,3,,,,,,
BigCheds,BigCheds,3,,,,,,
bonappetit,bonappetit,1,,,,,,
BourseetTrading,BourseetTrading,3,,,,,,
bpolitics,bpolitics,3,,,,,,
BritishVogue,BritishVogue,1,,,,,,
BronxZoosCobra,BronxZoosCobra,3,,,,,,
business,business,1,,,,,,
BuzzFeed,BuzzFeed,1,,,,,,
BuzzFeedAnimals,BuzzFeedAnimals,3,,,,,,
Cabronazi,Cabronazi,3,,,,,,
canuck2usa,canuck2usa,3,,,,,,
casareal,casareal,3,,,,,,
CBS,CBS,3,,,,,,
CdeCiencia,CdeCiencia,3,,,,,,
CERN,CERN,3,,,,,,
chicagoideas,chicagoideas,3,,,,,,
CIA,CIA,3,,,,,,
cienciaplus,cienciaplus,3,,,,,,
cienciatmx,cienciatmx,3,,,,,,
CiudadanosCs,CiudadanosCs,3,,,,,,
CivilEats,CivilEats,3,,,,,,
CNN,CNN,4,,,,,,
CNNPolitics,CNNPolitics,3,,,,,,
CNTraveler,CNTraveler,1,,,,,,
cope_es,cope_es,3,,,,,,
Cosmopolitan,Cosmopolitan,3,,,,,,
cuantocabron,cuantocabron,3,,,,,,
DanielsTrading,DanielsTrading,3,,,,,,
darth,darth,3,,,,,,
DGTes,DGTes,3,,,,,,
dodo,dodo,3,,,,,,
EarthPix,EarthPix,1,,,,,,
ecosdelbalon,ecosdelbalon,3,,,,,,
el_pais,el_pais,1,,,,,,
ELLEmagazine,ELLEmagazine,1,,,,,,
ELLEUK,ELLEUK,3,,,,,,
elmundotoday,elmundotoday,3,,,,,,
EmrgencyKittens,EmrgencyKittens,1,,,,,,
epicurious,epicurious,1,,,,,,
epp,epp,3,,,,,,
esa,esa,3,,,,,,
EU_Commission,EU_Commission,3,,,,,,
EUCouncil,EUCouncil,3,,,,,,
Fascinatingpics,Fascinatingpics,1,,,,,,
Fashionista_com,Fashionista_com,3,,,,,,
foodandwine,foodandwine,1,,,,,,
Fooddotcom,Fooddotcom,3,,,,,,
FoxNews,FoxNews,2,,,,,,
FOXTV,FOXTV,3,,,,,,
frugaltraveler,frugaltraveler,3,,,,,,
FTTradingRoom,FTTradingRoom,3,,,,,,
funnyordie,funnyordie,2,,,,,,
FutbolAvanzado,FutbolAvanzado,3,,,,,,
guardiacivil,guardiacivil,3,,,,,,
HarvardBiz,HarvardBiz,1,,,,,,
hbo,hbo,3,,,,,,
hulu,hulu,3,,,,,,
iowagirleats,iowagirleats,3,,,,,,
kalesalad,kalesalad,3,,,,,,
kenzo,kenzo,3,,,,,,
La1_tve,La1_tve,3,,,,,,
ladbible,ladbible,3,,,,,,
LaLiga,LaLiga,1,,,,,,
laSextaTV,laSextaTV,3,,,,,,
latimes,latimes,1,,,,,,
lavecinarubia,lavecinarubia,3,,,,,,
livefolk,livefolk,3,,,,,,
LondonFashionWk,LondonFashionWk,3,,,,,,
LSFinancial,LSFinancial,3,,,,,,
MarsCuriosity,MarsCuriosity,1,,,,,,
MarvelStudios,MarvelStudios,3,,,,,,
materia_ciencia,materia_ciencia,3,,,,,,
mental_floss,mental_floss,3,,,,,,
Miramax,Miramax,3,,,,,,
moneyballfutbol,moneyballfutbol,3,,,,,,
MoveTheWorld,MoveTheWorld,3,,,,,,
MoviePass,MoviePass,3,,,,,,
MSNBC,MSNBC,3,,,,,,
Multi_Apuesta,Multi_Apuesta,3,,,,,,
mytradingbuddy,mytradingbuddy,3,,,,,,
NASA,NASA,4,,,,,,
NatGeoFood,NatGeoFood,3,,,,,,
NatGeoTravel,NatGeoTravel,1,,,,,,
natgeowild,natgeowild,3,,,,,,
NationalZoo,NationalZoo,3,,,,,,
NBA,NBA,4,,,,,,
NBC,NBC,3,,,,,,
NBCNews,NBCNews,1,,,,,,
netflix,netflix,1,,,,,,
newfoodeconomy,newfoodeconomy,3,,,,,,
Newsweek,Newsweek,1,,,,,,
NFL_Memes,NFL_Memes,3,,,,,,
noticias_cuatro,noticias_cuatro,3,,,,,,
NSF,NSF,3,,,,,,
nswpolice,nswpolice,3,,,,,,
NYT4thDownBot,NYT4thDownBot,3,,,,,,
NYTFood,NYTFood,3,,,,,,
nytimes,nytimes,4,,,,,,
nytimestravel,nytimestravel,3,,,,,,
Olympics,Olympics,1,,,,,,
OndaCero_es,OndaCero_es,3,,,,,,
ONU_es,ONU_es,3,,,,,,
peta,peta,3,,,,,,
policia,policia,1,,,,,,
PopSci,PopSci,3,,,,,,
pourmecoffee,pourmecoffee,3,,,,,,
PrimeVideo,PrimeVideo,3,,,,,,
rdfrs,rdfrs,3,,,,,,
RealCapnCrunch,RealCapnCrunch,3,,,,,,
RealCarrotFacts,RealCarrotFacts,3,,,,,,
Reuters,Reuters,2,,,,,,
RevistaInStyle,RevistaInStyle,3,,,,,,
SavedYouAClick,SavedYouAClick,3,,,,,,
sciencemagazine,sciencemagazine,3,,,,,,
ScienceMarchDC,ScienceMarchDC,3,,,,,,
sciencemuseum,sciencemuseum,3,,,,,,
scienceworldca,scienceworldca,3,,,,,,
Sephora,Sephora,3,,,,,,
Seriouseats,Seriouseats,3,,,,,,
shedancestibet,shedancestibet,3,,,,,,
shows_tv,shows_tv,3,,,,,,
sockington,sockington,3,,,,,,
SonyPicsTeens,SonyPicsTeens,1,,,,,,
spoonuniversity,spoonuniversity,3,,,,,,
SportsCenter,SportsCenter,4,,,,,,
StockTwits,StockTwits,3,,,,,,
styleinmadrid,styleinmadrid,3,,,,,,
TEDTalks,TEDTalks,2,,,,,,
TelegraphTravel,TelegraphTravel,3,,,,,,
ThatGuyTipsterr,ThatGuyTipsterr,3,,,,,,
ThatsEarth,ThatsEarth,3,,,,,,
TheBlondeSalad,TheBlondeSalad,3,,,,,,
TheCut,TheCut,3,,,,,,
TheDemocrats,TheDemocrats,3,,,,,,
thehill,thehill,1,,,,,,
TimesFashion,TimesFashion,3,,,,,,
TradingNation,TradingNation,3,,,,,,
tradingview,tradingview,3,,,,,,
travel,travel,1,,,,,,
TravelLeisure,TravelLeisure,1,,,,,,
TravelMagazine,TravelMagazine,1,,,,,,
TV_TradingIdeas,TV_TradingIdeas,3,,,,,,
TwitterFood,TwitterFood,3,,,,,,
TwitterMovies,TwitterMovies,1,,,,,,
UberFacts,UberFacts,2,,,,,,
UN,UN,2,,,,,,
UNICEF,UNICEF,1,,,,,,
ViajaEnElMundo,ViajaEnElMundo,3,,,,,,
VictoriasSecret,VictoriasSecret,2,,,,,,
voguemagazine,voguemagazine,2,,,,,,
vox_es,vox_es,3,,,,,,
washingtonpost,washingtonpost,2,,,,,,
WhiteHouse,WhiteHouse,2,,,,,,
WhoWhatWear,WhoWhatWear,3,,,,,,
WIREDScience,WIREDScience,3,,,,,,
wizard_cfc,wizard_cfc,3,,,,,,
WSJ,WSJ,2,,,,,,
