"""HASHTAG""","""COUNT"""
"""debateine""",62
"""nbaonabc""",41
"""nbaplayoffs""",30
"""fearthedeer""",27
"""gospursgo""",24
"""dcfamily""",17
"""westworld""",17
"""whateverittakes""",16
"""dubnation""",14
"""earthday""",14
"""pacers""",13
"""masterchef""",13
"""cusrise""",13
"""metoo""",12
"""atletirealbetis""",10
"""serien""",9
"""nicaragua""",9
"""wethenorth""",9
"""diadelatierra""",9
"""sundayfutures""",8
"""díadelatierra""",8
"""eleccionesméxico""",8
"""gironaespanyol""",8
"""finalcopa""",8
"""laspalmasalavés""",7
"""liarlapardo""",7
"""espreparty2018""",6
"""últimahora""",6
"""lomásvisto""",6
"""málagarealsociedad""",6
"""laliga123""",6
"""laligasantander""",5
"""thisiswhyweplay""",5
"""cataluña""",5
"""abcrecomienda""",5
"""coachella""",5
"""mtp""",5
"""tvshows""",5
"""lacasadepapel""",5
"""chaostakescontrol""",4
"""paraguay""",4
"""deportes""",4
"""notelopierdas""",4
"""phantomcam""",4
"""santjordi""",4
"""recordamos""",4
"""goazenglorioso""",3
"""rcde""",3
"""atreseries""",3
"""td1fs""",3
"""sctop10""",3
"""nba""",3
"""21festivalmálaga""",3
"""actualización""",3
"""alemania""",3
"""elprofesor""",3
"""ligaiberdrola""",3
"""beychella""",3
"""montecarlo""",2
"""directo""",2
"""dateline""",2
"""whataboutme""",2
"""sexdiaries""",2
"""vamosud""",2
"""díadellibro""",2
"""lacatedraldelmar""",2
"""alleyesnorth""",2
"""china""",2
"""trump""",2
"""vogueworld""",2
"""nbabreakdown""",2
"""nbabday""",2
"""pedrocarreño""",2
"""plásticos""",2
"""afganistán""",2
"""obama""",2
"""nbarooks""",2
"""metgala""",2
"""eeuu""",2
"""infinitywar""",2
"""blacklivesmatter""",2
"""nbakicks""",2
"""viñeta""",2
"""spd""",2
"""málagacf""",2
"""imwhy""",2
"""20h""",2
"""francia""",2
"""doitbigger""",2
"""españa""",1
"""gleaguealum""",1
"""vaticano""",1
"""prematchdouble""",1
"""tdmatinal""",1
"""unlugartranquilo""",1
"""improvisando""",1
"""partsunknown""",1
"""armenia""",1
"""primavera""",1
"""factsfirst""",1
"""fiftyshades""",1
"""marina""",1
"""méxico""",1
"""lethalweapon""",1
"""snapchatfilter""",1
"""metroscopia""",1
"""madrid""",1
"""barcelonafilmfest""",1
"""gratis""",1
"""sundayread""",1
"""blackhat""",1
"""nashville""",1
"""losremakers""",1
"""feriaabril""",1
"""acmawards""",1
"""crazyrichasians""",1
"""ifeelpretty""",1
"""granadaculturalleonesa""",1
"""copadelrey""",1
"""seguridad""",1
"""jetaparking""",1
"""sabadell""",1
"""barçabrayo""",1
"""sharpobjects""",1
"""daesh""",1
"""onu""",1
"""repormercados""",1
"""libia""",1
"""bobsburgers""",1
"""fmi""",1
"""bringyourselfbackonline""",1
"""bbmas""",1
"""unióneuropea""",1
"""crónica""",1
"""atocha""",1
"""gotham""",1
"""td2fs""",1
"""mylittlepony""",1
"""14h""",1
"""lugolorca""",1
"""fns""",1
"""finalcopatve""",1
"""lomasvisto""",1
"""thisiswhyiplayhumans""",1
"""laruletadelafortuna""",1
"""watchmework""",1
"""wegohard""",1
"""lossimpson""",1
"""mcflive""",1
"""conectareceta""",1
"""jamescomey""",1
"""30daysofsex""",1
"""nofilter""",1
"""wizardstrikes""",1
"""andreanahles""",1
"""derbisantjordi""",1
"""westworldseason2""",1
"""masters1000montecarlo""",1
"""rise""",1
"""rolexmcmasters""",1
"""crepúsculo""",1
"""motogp""",1
"""fao""",1
"""23deabril""",1
"""happinesslab""",1
"""copafederación""",1
"""elmejorveranodemivida""",1
"""noplastic""",1
"""hygge""",1
"""legion""",1
"""baseball""",1
"""roller""",1
"""cádizsporting""",1
"""lascosasdelatana""",1
"""worldcup""",1
"""tucanción""",1
"""objetivoerrejón""",1
"""puremagic""",1
"""vuelvemasterchef""",1
"""barcosdragón""",1
"""iniesta""",1
"""athleticlevante""",1
"""premiscontinuarà""",1
"""neveragain""",1
"""escaparate""",1
"""libros""",1
"""kabul""",1
"""askpolly""",1
"""alcorcónosasuna""",1
"""wildwildcountry""",1
"""livelight""",1
"""odebrecht""",1
"""familyguy""",1
"""parlamento""",1
"""copenhague""",1
"""lasextadeportes""",1
"""enanálisis""",1
"""master1000""",1
"""lazysunday""",1
"""tripledoublewatch""",1
"""assistofthenight""",1
"""cloud9""",1
"""happyearthday""",1
"""ebro""",1
"""japón""",1
"""11mcf""",1
"""cdec2018""",1
"""timesup""",1
"""earthday2018""",1
"""londonmarathon""",1
"""estanteríamásvisitada""",1
"""elderbivasco""",1
"""cierre""",1
"""thesimpsons""",1
"""teentitansgo""",1
"""gameofthrones""",1
"""lucifer""",1
"""itslaliga""",1
"""americasgp""",1
"""harrypotter""",1
"""earth""",1